127.0.0.1 - - [15/Jun/2018:21:26:54 -0300] "GET /Videos/bootstrap.3.3.7/content/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:54 -0300] "GET /Videos/bootstrap.3.3.7/content/bootstrap-theme.min.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:54 -0300] "GET /Videos/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:54 -0300] "GET /Videos/bootstrap.3.3.7/Scripts/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:54 -0300] "GET /Videos/js/scripts.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:54 -0300] "GET /Videos/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:54 -0300] "GET /Videos/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:54 -0300] "GET /Videos/getvideos.jsp?string_busqueda=&categoria= HTTP/1.1" 200 5682
127.0.0.1 - - [15/Jun/2018:21:26:54 -0300] "POST /Videos/reproducir.jsp HTTP/1.1" 200 205
127.0.0.1 - - [15/Jun/2018:21:26:56 -0300] "GET /Videos/ HTTP/1.1" 200 1924
127.0.0.1 - - [15/Jun/2018:21:26:56 -0300] "GET /Videos/bootstrap.3.3.7/content/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:56 -0300] "GET /Videos/bootstrap.3.3.7/Scripts/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:56 -0300] "GET /Videos/js/utils.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:56 -0300] "GET /Videos/bootstrap.3.3.7/content/bootstrap-theme.min.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:56 -0300] "GET /Videos/css/styles.css HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:56 -0300] "GET /Videos/js/scripts.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:56 -0300] "GET /Videos/js/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Jun/2018:21:26:56 -0300] "GET /Videos/getvideos.jsp?string_busqueda=&categoria= HTTP/1.1" 200 5706
127.0.0.1 - - [15/Jun/2018:21:27:01 -0300] "GET /Videos/bootstrap.3.3.7/content/bootstrap.min.css.map HTTP/1.1" 304 -
